name,view,category,tags,jsModule,status
accordion,daisy::components.ui.advanced.accordion,advanced,advanced,,active
calendar-cally,daisy::components.ui.advanced.calendar-cally,advanced,advanced,,active
calendar-full,daisy::components.ui.advanced.calendar-full,advanced,"advanced, js, async, lazy",calendar-full,active
calendar-native,daisy::components.ui.advanced.calendar-native,advanced,advanced,,active
calendar,daisy::components.ui.advanced.calendar,advanced,advanced,,active
chart,daisy::components.ui.advanced.chart,advanced,"advanced, js, async",chart,active
code-editor,daisy::components.ui.advanced.code-editor,advanced,"advanced, js, async",code-editor,active
collapse,daisy::components.ui.advanced.collapse,advanced,advanced,,active
countdown,daisy::components.ui.advanced.countdown,advanced,advanced,,active
diff,daisy::components.ui.advanced.diff,advanced,advanced,,active
fieldset,daisy::components.ui.advanced.fieldset,advanced,advanced,,active
filter,daisy::components.ui.advanced.filter,advanced,advanced,,active
icon,daisy::components.ui.advanced.icon,advanced,advanced,,active
join,daisy::components.ui.advanced.join,advanced,advanced,,active
label,daisy::components.ui.advanced.label,advanced,advanced,,active
link,daisy::components.ui.advanced.link,advanced,advanced,,active
login-button,daisy::components.ui.advanced.login-button,advanced,advanced,,active
mask,daisy::components.ui.advanced.mask,advanced,advanced,,active
onboarding,daisy::components.ui.advanced.onboarding,advanced,"advanced, js, async",onboarding,active
rating,daisy::components.ui.advanced.rating,advanced,advanced,,active
scroll-status,daisy::components.ui.advanced.scroll-status,advanced,"advanced, js, async",scroll-status,active
scrollspy,daisy::components.ui.advanced.scrollspy,advanced,"advanced, js, async",scrollspy,active
swap,daisy::components.ui.advanced.swap,advanced,advanced,,active
theme-controller,daisy::components.ui.advanced.theme-controller,advanced,advanced,,active
transfer,daisy::components.ui.advanced.transfer,advanced,"advanced, js, async, lazy",transfer,active
tree-view,daisy::components.ui.advanced.tree-view,advanced,"advanced, js, async, lazy",treeview,active
validator,daisy::components.ui.advanced.validator,advanced,advanced,,active
wysiwyg,daisy::components.ui.advanced.wysiwyg,advanced,advanced,,active
changelog-change-item,daisy::components.ui.changelog.changelog-change-item,changelog,changelog,,active
