attribute,components
module,"calendar-full, chart, code-editor, scrollspy, tree-view, table, color-picker, file-input, lightbox, media-gallery, sidebar-navigation, sidebar"
calendar-full,calendar-full
options,calendar-full
events,calendar-full
events-url,calendar-full
chart,chart
language,code-editor
readonly,code-editor
theme,code-editor
tab-size,code-editor
action,code-editor
scrollspy,scrollspy
container,scrollspy
track,scrollspy
root-margin,scrollspy
threshold,scrollspy
smooth,scrollspy
offset,scrollspy
active-class,scrollspy
autogen,scrollspy
transfer-selectall,transfer
transfer-count,transfer
transfer-search,transfer
transfer-list,transfer
id,transfer
label,transfer
disabled,"transfer, tree-view, color-picker"
checked,transfer
transfer-pager,transfer
transfer-page,transfer
transfer-move,transfer
tip,"transfer, tooltip"
treeview,tree-view
selection,tree-view
persist,tree-view
select-label,tree-view
control-size,tree-view
lazy-url,tree-view
lazy-param,tree-view
search-enabled,tree-view
search-min,tree-view
search-debounce,tree-view
search-url,tree-view
search-param,tree-view
search-auto,tree-view
tree-search-container,tree-view
tree-search,tree-view
tree-search-btn,tree-view
return,tree-view
radio-name,tree-view
trix-attachments,wysiwyg
trix-deferred,wysiwyg
table-select,table
indeterminate,"checkbox, toggle"
colorpicker,color-picker
value,color-picker
dropdown,color-picker
swatches,color-picker
swatches-height,color-picker
show-palette,color-picker
show-inputs,color-picker
show-format-toggle,color-picker
show-alpha,color-picker
show-hue,color-picker
fileinput,file-input
preview,file-input
multiple,file-input
inputmask,input
uncheckable,radio
role,select
lightbox,lightbox
loop,lightbox
keyboard,lightbox
zoom,"lightbox, media-gallery"
fullscreen,lightbox
index,"lightbox, media-gallery"
media-gallery,media-gallery
activation,media-gallery
auto-height,media-gallery
position,media-gallery
searchable,"sidebar-navigation, sidebar"
width-strategy,sidebar
wide-class,sidebar
collapsed-class,sidebar
collapsed,sidebar
storage-key,sidebar
step-index,stepper
popconfirm-modal,popconfirm
popconfirm-action,popconfirm
popconfirm-modal-target,popconfirm
copy-target,mockup-code
copy-text,mockup-code
prefix,mockup-code
